"withinblocktrial","block","block_repetition","rt","resp","cor","cresp","conf_press","cj","rtconf","coherence","slow_trial","manipulation","sub","age","gender","handedness","X","batch","check1","check2","check3","check4"
24,6,1,0.965982100000019,"['n']",1,"right","['0']",6,0.883918400000084,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
25,6,1,1.0995598999998,"['n']",1,"right","['9']",5,0.467116699999906,0.2,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
26,6,1,0.732522100000097,"['c']",1,"left","['0']",6,1.65054579999992,0.4,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
27,6,1,1.11597889999985,"['n']",1,"right","['0']",6,0.767191099999991,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
28,6,1,3.98319910000009,"['c']",1,"left","['3']",3,1.36718459999997,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
29,6,1,1.01543130000005,"['n']",1,"right","['0']",6,0.733895200000006,0.2,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
30,6,1,0.698884599999928,"['c']",1,"left","['0']",6,0.233734700000014,0.4,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
31,6,1,2.01500479999982,"['c']",1,"left","['3']",3,1.06722260000015,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
32,6,1,1.83360400000015,"['n']",1,"right","['0']",6,0.58386859999996,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
33,6,1,2.15009770000006,"['n']",1,"right","['3']",3,1.28390530000001,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
34,6,1,3.11631279999983,"['c']",0,"right","['2']",2,1.08390420000001,0.1,0,"AccAcc",1,18,"Woman","Right",NA,1,TRUE,TRUE,TRUE,TRUE
